epoch,steps,cossim_accuracy,cossim_accuracy_threshold,cossim_f1,cossim_precision,cossim_recall,cossim_f1_threshold,cossim_ap,manhatten_accuracy,manhatten_accuracy_threshold,manhatten_f1,manhatten_precision,manhatten_recall,manhatten_f1_threshold,manhatten_ap,euclidean_accuracy,euclidean_accuracy_threshold,euclidean_f1,euclidean_precision,euclidean_recall,euclidean_f1_threshold,euclidean_ap,dot_accuracy,dot_accuracy_threshold,dot_f1,dot_precision,dot_recall,dot_f1_threshold,dot_ap
0,-1,0.7928571428571428,0.8108556270599365,0.7467105263157895,0.6485714285714286,0.8798449612403101,0.7502842545509338,0.7568183649371644,0.7957142857142857,9.340381622314453,0.750413223140496,0.654178674351585,0.8798449612403101,10.885007858276367,0.7564252354323333,0.7928571428571428,0.615051805973053,0.7467105263157895,0.6485714285714286,0.8798449612403101,0.7067046165466309,0.7568183649371644,0.7928571428571428,0.8108556270599365,0.7467105263157895,0.6485714285714286,0.8798449612403101,0.7502842545509338,0.7568183649371644
1,-1,0.8057142857142857,0.8223662972450256,0.757314974182444,0.6811145510835913,0.8527131782945736,0.7717970609664917,0.7718229940947802,0.8028571428571428,9.409160614013672,0.7549668874172185,0.6589595375722543,0.8837209302325582,10.899065017700195,0.7712149688875956,0.8057142857142857,0.5960425138473511,0.757314974182444,0.6811145510835913,0.8527131782945736,0.6755778193473816,0.7718229940947802,0.8057142857142857,0.8223662972450256,0.757314974182444,0.6811145510835913,0.8527131782945736,0.7717970609664917,0.7718229940947802
2,-1,0.8142857142857143,0.7859364748001099,0.7702479338842975,0.6714697406340058,0.9031007751937985,0.7470352649688721,0.7834702033511741,0.8142857142857143,10.100320816040039,0.7684729064039408,0.6666666666666666,0.9069767441860465,11.139719009399414,0.783949932212564,0.8142857142857143,0.6543141603469849,0.7702479338842975,0.6714697406340058,0.9031007751937985,0.7112870216369629,0.7834702033511741,0.8142857142857143,0.7859365344047546,0.7702479338842975,0.6714697406340058,0.9031007751937985,0.7470352649688721,0.7834702033511741
3,-1,0.8242857142857143,0.7728086709976196,0.7853403141361257,0.7142857142857143,0.872093023255814,0.7702711224555969,0.796249690339722,0.8214285714285714,10.520837783813477,0.7848537005163513,0.7058823529411765,0.8837209302325582,10.604392051696777,0.7956702519814975,0.8242857142857143,0.6740790009498596,0.7853403141361257,0.7142857142857143,0.872093023255814,0.6778330206871033,0.796249690339722,0.8242857142857143,0.7728087902069092,0.7853403141361257,0.7142857142857143,0.872093023255814,0.7702711820602417,0.796249690339722
4,-1,0.83,0.8199598789215088,0.7879799666110183,0.6920821114369502,0.9147286821705426,0.7441599369049072,0.8029548846470803,0.83,9.664164543151855,0.7884940778341794,0.6996996996996997,0.9031007751937985,10.981318473815918,0.8034281936502862,0.83,0.6000655293464661,0.7879799666110183,0.6920821114369502,0.9147286821705426,0.7153180241584778,0.8029548846470803,0.83,0.8199599385261536,0.7879799666110183,0.6920821114369502,0.9147286821705426,0.7441598773002625,0.8029548846470803
5,-1,0.8357142857142857,0.8319909572601318,0.8013816925734025,0.7227414330218068,0.8992248062015504,0.7780061960220337,0.8029988675194928,0.8371428571428572,9.082845687866211,0.798598949211909,0.7284345047923323,0.8837209302325582,10.041380882263184,0.80250841444877,0.8357142857142857,0.5796696543693542,0.8013816925734025,0.7227414330218068,0.8992248062015504,0.6663239002227783,0.8029988675194928,0.8357142857142857,0.8319909572601318,0.8013816925734025,0.7227414330218068,0.8992248062015504,0.7780061960220337,0.8029988675194928
6,-1,0.8385714285714285,0.8053085207939148,0.7971781305114639,0.7313915857605178,0.875968992248062,0.7806467413902283,0.80283503067415,0.8385714285714285,9.767112731933594,0.7972027972027971,0.7261146496815286,0.8837209302325582,10.50379753112793,0.8023982776309486,0.8385714285714285,0.6240055561065674,0.7971781305114639,0.7313915857605178,0.875968992248062,0.662348747253418,0.80283503067415,0.8385714285714285,0.8053085803985596,0.7971781305114639,0.7313915857605178,0.875968992248062,0.7806466817855835,0.80283503067415
7,-1,0.8414285714285714,0.7602260112762451,0.8109028960817718,0.723404255319149,0.9224806201550387,0.7602260112762451,0.8092860972584568,0.8428571428571429,10.605646133422852,0.8122866894197952,0.725609756097561,0.9224806201550387,10.691669464111328,0.8099861296697127,0.8414285714285714,0.6924934387207031,0.8109028960817718,0.723404255319149,0.9224806201550387,0.6924934387207031,0.8092860972584568,0.8414285714285714,0.7602259516716003,0.8109028960817718,0.723404255319149,0.9224806201550387,0.7602259516716003,0.8092860972584568
8,-1,0.8442857142857143,0.7933086156845093,0.8090277777777777,0.7327044025157232,0.9031007751937985,0.7853443622589111,0.8107717404815911,0.8428571428571429,9.851258277893066,0.8076923076923077,0.7356687898089171,0.8953488372093024,10.052844047546387,0.8104612730555125,0.8442857142857143,0.642945408821106,0.8090277777777777,0.7327044025157232,0.9031007751937985,0.6552131175994873,0.8107717404815911,0.8442857142857143,0.7933086156845093,0.8090277777777777,0.7327044025157232,0.9031007751937985,0.7853444218635559,0.8107717404815911
9,-1,0.8414285714285714,0.8131908178329468,0.8048780487804879,0.7310126582278481,0.8953488372093024,0.7990278601646423,0.813043114360251,0.84,9.505857467651367,0.8048780487804879,0.7310126582278481,0.8953488372093024,9.868160247802734,0.8122455114067578,0.8414285714285714,0.6112406253814697,0.8048780487804879,0.7310126582278481,0.8953488372093024,0.6339751482009888,0.813043114360251,0.8414285714285714,0.8131908178329468,0.8048780487804879,0.7310126582278481,0.8953488372093024,0.7990278601646423,0.813043114360251
